date,Weekday,Month,Hour,Day,DateTime,HvacMode,Schedule,T_ctrl,T_stp_cool,T_stp_heat,delta,Humidity,HumidityExpectedLow,HumidityExpectedHigh,auxHeat1,auxHeat2,auxHeat3,compCool1,compCool2,compHeat1,compHeat2,fan,Thermostat_Temperature,Thermostat_Motion,Remote_Sensor_1_Temperature,Remote_Sensor_1_Motion,T_out,RH_out,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather
1/1/2019,1,1,0,1,1/1/2019 0:00,heat,Sleep,70,71,63,8,38,0,0,0,0,0,0,0,0,0,45,71,1,69,0,41,95,-79.63,43.68,TORONTO INTL A,6158731,2019,0:00,4.5,3.7,94,18,14,6.4,97.29,0,0,Drizzle
1/1/2019,1,1,1,1,1/1/2019 1:00,heat,Sleep,71,71,63,8,40,0,0,0,0,0,0,0,0,0,45,71,1,69,0,42,94,-79.63,43.68,TORONTO INTL A,6158731,2019,1:00,4.4,3.6,94,27,7,9.7,97.32,0,0,Drizzle
1/1/2019,1,1,2,1,1/1/2019 2:00,heat,Sleep,69,71,63,7,37,0,0,0,0,0,0,0,0,0,45,70,0,69,0,42,93,-79.63,43.68,TORONTO INTL A,6158731,2019,2:00,2.4,1.5,94,33,35,9.7,97.54,0,0,Rain
1/1/2019,1,1,3,1,1/1/2019 3:00,heat,Sleep,69,71,63,6,35,0,0,0,0,0,0,0,0,0,45,69,0,69,0,39,90,-79.63,43.68,TORONTO INTL A,6158731,2019,3:00,2.2,1.2,93,31,29,19.3,97.89,0,0,
1/1/2019,1,1,4,1,1/1/2019 4:00,heat,Sleep,69,71,63,5,35,0,0,0,0,0,0,0,0,0,45,68,0,69,0,35,86,-79.63,43.68,TORONTO INTL A,6158731,2019,4:00,1.9,0.8,92,31,30,24.1,98.16,0,0,Cloudy
1/1/2019,1,1,5,1,1/1/2019 5:00,heat,Sleep,68,71,63,5,35,0,0,0,0,0,0,0,0,0,45,68,0,69,0,35,85,-79.63,43.68,TORONTO INTL A,6158731,2019,5:00,2.6,1.1,89,30,36,24.1,98.51,0,0,
1/1/2019,1,1,6,1,1/1/2019 6:00,heat,Sleep,68,71,63,4,35,0,0,0,0,0,0,0,0,0,45,67,0,68,0,34,80,-79.63,43.68,TORONTO INTL A,6158731,2019,6:00,1.6,-0.3,87,33,36,24.1,98.78,0,0,
1/1/2019,1,1,7,1,1/1/2019 7:00,heat,Sleep,68,71,63,4,34,0,0,300,0,0,0,0,0,0,0,67,0,68,0,34,77,-79.63,43.68,TORONTO INTL A,6158731,2019,7:00,1.3,-1,84,33,27,24.1,99.04,0,0,Cloudy
1/1/2019,1,1,8,1,1/1/2019 8:00,heat,Home,70,73,70,-1,34,0,0,0,0,0,0,0,0,0,0,69,0,71,0,34,75,-79.63,43.68,TORONTO INTL A,6158731,2019,8:00,1.1,-1.7,82,32,28,24.1,99.34,0,0,
1/1/2019,1,1,9,1,1/1/2019 9:00,heat,Away,70,74,61,8,34,0,0,0,0,0,0,0,0,0,45,69,0,70,0,32,74,-79.63,43.68,TORONTO INTL A,6158731,2019,9:00,0.5,-2.7,79,34,22,24.1,99.6,0,0,
